YEAR,MONTH,STATE,FIRES,MEETING_DATE
1998,JAN,Acre,0,1998-01-01
1999,JAN,Acre,0,1999-01-01
2000,JAN,Acre,0,2000-01-01
2001,JAN,Acre,0,2001-01-01
2002,JAN,Acre,0,2002-01-01
2003,JAN,Acre,10,2003-01-01
2004,JAN,Acre,0,2004-01-01
2005,JAN,Acre,12,2005-01-01
2006,JAN,Acre,4,2006-01-01
2007,JAN,Acre,0,2007-01-01
2008,JAN,Acre,0,2008-01-01
2009,JAN,Acre,0,2009-01-01
2010,JAN,Acre,1,2010-01-01
2011,JAN,Acre,0,2011-01-01
2012,JAN,Acre,0,2012-01-01
2013,JAN,Acre,0,2013-01-01
2014,JAN,Acre,0,2014-01-01
2015,JAN,Acre,1,2015-01-01
2016,JAN,Acre,12,2016-01-01
2017,JAN,Acre,0,2017-01-01
1998,FEB,Acre,0,1998-01-01
1999,FEB,Acre,0,1999-01-01
2000,FEB,Acre,0,2000-01-01
2001,FEB,Acre,0,2001-01-01
2002,FEB,Acre,1,2002-01-01
2003,FEB,Acre,0,2003-01-01
2004,FEB,Acre,3,2004-01-01
2005,FEB,Acre,0,2005-01-01
2006,FEB,Acre,0,2006-01-01
2007,FEB,Acre,5,2007-01-01
2008,FEB,Acre,0,2008-01-01
2009,FEB,Acre,2,2009-01-01
2010,FEB,Acre,0,2010-01-01
2011,FEB,Acre,0,2011-01-01
2012,FEB,Acre,0,2012-01-01
2013,FEB,Acre,0,2013-01-01
2014,FEB,Acre,0,2014-01-01
2015,FEB,Acre,2,2015-01-01
2016,FEB,Acre,5,2016-01-01
2017,FEB,Acre,1,2017-01-01
1998,MAR,Acre,0,1998-01-01
1999,MAR,Acre,0,1999-01-01
2000,MAR,Acre,11,2000-01-01
2001,MAR,Acre,0,2001-01-01
2002,MAR,Acre,0,2002-01-01
2003,MAR,Acre,0,2003-01-01
2004,MAR,Acre,0,2004-01-01
2005,MAR,Acre,3,2005-01-01
2006,MAR,Acre,0,2006-01-01
2007,MAR,Acre,2,2007-01-01
2008,MAR,Acre,0,2008-01-01
2009,MAR,Acre,1,2009-01-01
2010,MAR,Acre,0,2010-01-01
2011,MAR,Acre,0,2011-01-01
2012,MAR,Acre,1,2012-01-01
2013,MAR,Acre,2,2013-01-01
2014,MAR,Acre,1,2014-01-01
2015,MAR,Acre,2,2015-01-01
2016,MAR,Acre,0,2016-01-01
2017,MAR,Acre,0,2017-01-01
1998,APR,Acre,0,1998-01-01
1999,APR,Acre,0,1999-01-01
2000,APR,Acre,1,2000-01-01
2001,APR,Acre,0,2001-01-01
2002,APR,Acre,0,2002-01-01
2003,APR,Acre,1,2003-01-01
2004,APR,Acre,2,2004-01-01
2005,APR,Acre,1,2005-01-01
2006,APR,Acre,0,2006-01-01
2007,APR,Acre,0,2007-01-01
2008,APR,Acre,0,2008-01-01
2009,APR,Acre,0,2009-01-01
2010,APR,Acre,3,2010-01-01
2011,APR,Acre,2,2011-01-01
2012,APR,Acre,1,2012-01-01
2013,APR,Acre,19,2013-01-01
2014,APR,Acre,7,2014-01-01
2015,APR,Acre,3,2015-01-01
2016,APR,Acre,0,2016-01-01
2017,APR,Acre,1,2017-01-01
1998,MAY,Acre,0,1998-01-01
1999,MAY,Acre,0,1999-01-01
2000,MAY,Acre,1,2000-01-01
2001,MAY,Acre,0,2001-01-01
2002,MAY,Acre,0,2002-01-01
2003,MAY,Acre,6,2003-01-01
2004,MAY,Acre,7,2004-01-01
2005,MAY,Acre,2,2005-01-01
2006,MAY,Acre,8,2006-01-01
2007,MAY,Acre,1,2007-01-01
2008,MAY,Acre,0,2008-01-01
2009,MAY,Acre,3,2009-01-01
2010,MAY,Acre,9,2010-01-01
2011,MAY,Acre,3,2011-01-01
2012,MAY,Acre,3,2012-01-01
2013,MAY,Acre,4,2013-01-01
2014,MAY,Acre,1,2014-01-01
2015,MAY,Acre,2,2015-01-01
2016,MAY,Acre,21,2016-01-01
2017,MAY,Acre,10,2017-01-01
1998,JUNE,Acre,3,1998-01-01
1999,JUNE,Acre,0,1999-01-01
2000,JUNE,Acre,1,2000-01-01
2001,JUNE,Acre,1,2001-01-01
2002,JUNE,Acre,0,2002-01-01
2003,JUNE,Acre,0,2003-01-01
2004,JUNE,Acre,5,2004-01-01
2005,JUNE,Acre,27,2005-01-01
2006,JUNE,Acre,1,2006-01-01
2007,JUNE,Acre,4,2007-01-01
2008,JUNE,Acre,0,2008-01-01
2009,JUNE,Acre,0,2009-01-01
2010,JUNE,Acre,1,2010-01-01
2011,JUNE,Acre,10,2011-01-01
2012,JUNE,Acre,7,2012-01-01
2013,JUNE,Acre,8,2013-01-01
2014,JUNE,Acre,17,2014-01-01
2015,JUNE,Acre,40,2015-01-01
2016,JUNE,Acre,87,2016-01-01
2017,JUNE,Acre,45,2017-01-01
1998,JULY,Acre,37,1998-01-01
1999,JULY,Acre,1,1999-01-01
2000,JULY,Acre,1,2000-01-01
2001,JULY,Acre,3,2001-01-01
2002,JULY,Acre,39,2002-01-01
2003,JULY,Acre,168,2003-01-01
2004,JULY,Acre,42,2004-01-01
2005,JULY,Acre,0,2005-01-01
2006,JULY,Acre,33,2006-01-01
2007,JULY,Acre,29,2007-01-01
2008,JULY,Acre,41,2008-01-01
2009,JULY,Acre,31,2009-01-01
2010,JULY,Acre,126,2010-01-01
2011,JULY,Acre,93,2011-01-01
2012,JULY,Acre,71,2012-01-01
2013,JULY,Acre,54,2013-01-01
2014,JULY,Acre,60,2014-01-01
2015,JULY,Acre,109,2015-01-01
2016,JULY,Acre,533,2016-01-01
2017,JULY,Acre,457,2017-01-01
1998,AUG,Acre,130,1998-01-01
1999,AUG,Acre,63,1999-01-01
2000,AUG,Acre,136,2000-01-01
2001,AUG,Acre,396,2001-01-01
2002,AUG,Acre,728,2002-01-01
2003,AUG,Acre,2,2003-01-01
2004,AUG,Acre,645,2004-01-01
2005,AUG,Acre,4,2005-01-01
2006,AUG,Acre,839,2006-01-01
2007,AUG,Acre,960,2007-01-01
2008,AUG,Acre,445,2008-01-01
2009,AUG,Acre,194,2009-01-01
2010,AUG,Acre,2,2010-01-01
2011,AUG,Acre,425,2011-01-01
2012,AUG,Acre,739,2012-01-01
2013,AUG,Acre,679,2013-01-01
2014,AUG,Acre,1,2014-01-01
2015,AUG,Acre,1,2015-01-01
2016,AUG,Acre,2,2016-01-01
2017,AUG,Acre,1,2017-01-01
1998,SEPT,Acre,509,1998-01-01
1999,SEPT,Acre,209,1999-01-01
2000,SEPT,Acre,265,2000-01-01
2001,SEPT,Acre,290,2001-01-01
2002,SEPT,Acre,2,2002-01-01
2003,SEPT,Acre,4,2003-01-01
2004,SEPT,Acre,2,2004-01-01
2005,SEPT,Acre,4,2005-01-01
2006,SEPT,Acre,2,2006-01-01
2007,SEPT,Acre,2,2007-01-01
2008,SEPT,Acre,2,2008-01-01
2009,SEPT,Acre,1,2009-01-01
2010,SEPT,Acre,3,2010-01-01
2011,SEPT,Acre,1,2011-01-01
2012,SEPT,Acre,2,2012-01-01
2013,SEPT,Acre,2,2013-01-01
2014,SEPT,Acre,2,2014-01-01
2015,SEPT,Acre,3,2015-01-01
2016,SEPT,Acre,4,2016-01-01
2017,SEPT,Acre,3,2017-01-01
1998,OCT,Acre,44,1998-01-01
1999,OCT,Acre,60,1999-01-01
2000,OCT,Acre,18,2000-01-01
2001,OCT,Acre,137,2001-01-01
2002,OCT,Acre,687,2002-01-01
2003,OCT,Acre,740,2003-01-01
2004,OCT,Acre,461,2004-01-01
2005,OCT,Acre,547,2005-01-01
2006,OCT,Acre,316,2006-01-01
2007,OCT,Acre,203,2007-01-01
2008,OCT,Acre,652,2008-01-01
2009,OCT,Acre,565,2009-01-01
2010,OCT,Acre,292,2010-01-01
2011,OCT,Acre,97,2011-01-01
2012,OCT,Acre,348,2012-01-01
2013,OCT,Acre,258,2013-01-01
2014,OCT,Acre,406,2014-01-01
2015,OCT,Acre,905,2015-01-01
2016,OCT,Acre,509,2016-01-01
2017,OCT,Acre,2,2017-01-01
1998,NOV,Acre,0,1998-01-01
1999,NOV,Acre,0,1999-01-01
2000,NOV,Acre,0,2000-01-01
2001,NOV,Acre,1,2001-01-01
2002,NOV,Acre,86,2002-01-01
2003,NOV,Acre,15,2003-01-01
2004,NOV,Acre,0,2004-01-01
2005,NOV,Acre,14,2005-01-01
2006,NOV,Acre,18,2006-01-01
2007,NOV,Acre,7,2007-01-01
2008,NOV,Acre,4,2008-01-01
2009,NOV,Acre,33,2009-01-01
2010,NOV,Acre,39,2010-01-01
2011,NOV,Acre,74,2011-01-01
2012,NOV,Acre,13,2012-01-01
2013,NOV,Acre,79,2013-01-01
2014,NOV,Acre,56,2014-01-01
2015,NOV,Acre,0,2015-01-01
2016,NOV,Acre,46,2016-01-01
2017,NOV,Acre,98,2017-01-01
1998,DEC,Acre,7,1998-01-01
1999,DEC,Acre,0,1999-01-01
2000,DEC,Acre,0,2000-01-01
2001,DEC,Acre,0,2001-01-01
2002,DEC,Acre,1,2002-01-01
2003,DEC,Acre,1,2003-01-01
2004,DEC,Acre,7,2004-01-01
2005,DEC,Acre,2,2005-01-01
2006,DEC,Acre,0,2006-01-01
2007,DEC,Acre,0,2007-01-01
2008,DEC,Acre,0,2008-01-01
2009,DEC,Acre,1,2009-01-01
2010,DEC,Acre,0,2010-01-01
2011,DEC,Acre,4,2011-01-01
2012,DEC,Acre,1,2012-01-01
2013,DEC,Acre,3,2013-01-01
2014,DEC,Acre,6,2014-01-01
2015,DEC,Acre,8,2015-01-01
2016,DEC,Acre,6,2016-01-01
1998,JAN,Alagoas,0,1998-01-01
1999,JAN,Alagoas,58,1999-01-01
2000,JAN,Alagoas,11,2000-01-01
2001,JAN,Alagoas,5,2001-01-01
2002,JAN,Alagoas,12,2002-01-01
2003,JAN,Alagoas,150,2003-01-01
2004,JAN,Alagoas,9,2004-01-01
2005,JAN,Alagoas,83,2005-01-01
2006,JAN,Alagoas,29,2006-01-01
2007,JAN,Alagoas,33,2007-01-01
2008,JAN,Alagoas,55,2008-01-01
2009,JAN,Alagoas,104,2009-01-01
2010,JAN,Alagoas,23,2010-01-01
2011,JAN,Alagoas,41,2011-01-01
2012,JAN,Alagoas,36,2012-01-01
2013,JAN,Alagoas,49,2013-01-01
2014,JAN,Alagoas,54,2014-01-01
2015,JAN,Alagoas,81,2015-01-01
2016,JAN,Alagoas,24,2016-01-01
2017,JAN,Alagoas,38,2017-01-01
1998,FEB,Alagoas,0,1998-01-01
1999,FEB,Alagoas,20,1999-01-01
2000,FEB,Alagoas,16,2000-01-01
2001,FEB,Alagoas,4,2001-01-01
2002,FEB,Alagoas,15,2002-01-01
2003,FEB,Alagoas,33,2003-01-01
2004,FEB,Alagoas,7,2004-01-01
2005,FEB,Alagoas,31,2005-01-01
2006,FEB,Alagoas,14,2006-01-01
2007,FEB,Alagoas,28,2007-01-01
2008,FEB,Alagoas,74,2008-01-01
2009,FEB,Alagoas,32,2009-01-01
2010,FEB,Alagoas,26,2010-01-01
2011,FEB,Alagoas,33,2011-01-01
2012,FEB,Alagoas,41,2012-01-01
2013,FEB,Alagoas,19,2013-01-01
2014,FEB,Alagoas,29,2014-01-01
2015,FEB,Alagoas,46,2015-01-01
2016,FEB,Alagoas,14,2016-01-01
2017,FEB,Alagoas,21,2017-01-01
1998,MAR,Alagoas,0,1998-01-01
1999,MAR,Alagoas,52,1999-01-01
2000,MAR,Alagoas,32,2000-01-01
2001,MAR,Alagoas,0,2001-01-01
2002,MAR,Alagoas,27,2002-01-01
2003,MAR,Alagoas,15,2003-01-01
2004,MAR,Alagoas,16,2004-01-01
2005,MAR,Alagoas,35,2005-01-01
2006,MAR,Alagoas,37,2006-01-01
2007,MAR,Alagoas,7,2007-01-01
2008,MAR,Alagoas,31,2008-01-01
2009,MAR,Alagoas,31,2009-01-01
2010,MAR,Alagoas,70,2010-01-01
2011,MAR,Alagoas,34,2011-01-01
2012,MAR,Alagoas,44,2012-01-01
2013,MAR,Alagoas,31,2013-01-01
2014,MAR,Alagoas,28,2014-01-01
2015,MAR,Alagoas,32,2015-01-01
2016,MAR,Alagoas,9,2016-01-01
2017,MAR,Alagoas,23,2017-01-01
1998,APR,Alagoas,0,1998-01-01
1999,APR,Alagoas,4,1999-01-01
2000,APR,Alagoas,20,2000-01-01
2001,APR,Alagoas,0,2001-01-01
2002,APR,Alagoas,6,2002-01-01
2003,APR,Alagoas,20,2003-01-01
2004,APR,Alagoas,6,2004-01-01
2005,APR,Alagoas,1,2005-01-01
2006,APR,Alagoas,2,2006-01-01
2007,APR,Alagoas,1,2007-01-01
2008,APR,Alagoas,18,2008-01-01
2009,APR,Alagoas,5,2009-01-01
2010,APR,Alagoas,3,2010-01-01
2011,APR,Alagoas,17,2011-01-01
2012,APR,Alagoas,18,2012-01-01
2013,APR,Alagoas,25,2013-01-01
2014,APR,Alagoas,16,2014-01-01
2015,APR,Alagoas,63,2015-01-01
2016,APR,Alagoas,13,2016-01-01
2017,APR,Alagoas,7,2017-01-01
1998,MAY,Alagoas,0,1998-01-01
1999,MAY,Alagoas,1,1999-01-01
2000,MAY,Alagoas,1,2000-01-01
2001,MAY,Alagoas,2,2001-01-01
2002,MAY,Alagoas,1,2002-01-01
2003,MAY,Alagoas,1,2003-01-01
2004,MAY,Alagoas,3,2004-01-01
2005,MAY,Alagoas,0,2005-01-01
2006,MAY,Alagoas,0,2006-01-01
2007,MAY,Alagoas,0,2007-01-01
2008,MAY,Alagoas,0,2008-01-01
2009,MAY,Alagoas,0,2009-01-01
2010,MAY,Alagoas,0,2010-01-01
2011,MAY,Alagoas,0,2011-01-01
2012,MAY,Alagoas,21,2012-01-01
2013,MAY,Alagoas,2,2013-01-01
2014,MAY,Alagoas,1,2014-01-01
2015,MAY,Alagoas,18,2015-01-01
2016,MAY,Alagoas,4,2016-01-01
2017,MAY,Alagoas,1,2017-01-01
1998,JUNE,Alagoas,0,1998-01-01
1999,JUNE,Alagoas,0,1999-01-01
2000,JUNE,Alagoas,0,2000-01-01
2001,JUNE,Alagoas,2,2001-01-01
2002,JUNE,Alagoas,0,2002-01-01
2003,JUNE,Alagoas,0,2003-01-01
2004,JUNE,Alagoas,0,2004-01-01
2005,JUNE,Alagoas,0,2005-01-01
2006,JUNE,Alagoas,0,2006-01-01
2007,JUNE,Alagoas,0,2007-01-01
2008,JUNE,Alagoas,0,2008-01-01
2009,JUNE,Alagoas,0,2009-01-01
2010,JUNE,Alagoas,0,2010-01-01
2011,JUNE,Alagoas,2,2011-01-01
2012,JUNE,Alagoas,4,2012-01-01
2013,JUNE,Alagoas,1,2013-01-01
2014,JUNE,Alagoas,2,2014-01-01
2015,JUNE,Alagoas,2,2015-01-01
2016,JUNE,Alagoas,5,2016-01-01
2017,JUNE,Alagoas,2,2017-01-01
1998,JULY,Alagoas,0,1998-01-01
1999,JULY,Alagoas,0,1999-01-01
2000,JULY,Alagoas,0,2000-01-01
2001,JULY,Alagoas,0,2001-01-01
2002,JULY,Alagoas,5,2002-01-01
2003,JULY,Alagoas,0,2003-01-01
2004,JULY,Alagoas,0,2004-01-01
2005,JULY,Alagoas,0,2005-01-01
2006,JULY,Alagoas,0,2006-01-01
2007,JULY,Alagoas,0,2007-01-01
2008,JULY,Alagoas,0,2008-01-01
2009,JULY,Alagoas,0,2009-01-01
2010,JULY,Alagoas,2,2010-01-01
2011,JULY,Alagoas,0,2011-01-01
2012,JULY,Alagoas,0,2012-01-01
2013,JULY,Alagoas,0,2013-01-01
2014,JULY,Alagoas,1,2014-01-01
2015,JULY,Alagoas,0,2015-01-01
2016,JULY,Alagoas,3,2016-01-01
2017,JULY,Alagoas,0,2017-01-01
1998,AUG,Alagoas,1,1998-01-01
1999,AUG,Alagoas,3,1999-01-01
2000,AUG,Alagoas,4,2000-01-01
2001,AUG,Alagoas,1,2001-01-01
2002,AUG,Alagoas,3,2002-01-01
2003,AUG,Alagoas,2,2003-01-01
2004,AUG,Alagoas,2,2004-01-01
2005,AUG,Alagoas,2,2005-01-01
2006,AUG,Alagoas,1,2006-01-01
2007,AUG,Alagoas,3,2007-01-01
2008,AUG,Alagoas,1,2008-01-01
2009,AUG,Alagoas,0,2009-01-01
2010,AUG,Alagoas,1,2010-01-01
2011,AUG,Alagoas,4,2011-01-01
2012,AUG,Alagoas,0,2012-01-01
2013,AUG,Alagoas,0,2013-01-01
2014,AUG,Alagoas,3,2014-01-01
2015,AUG,Alagoas,3,2015-01-01
2016,AUG,Alagoas,5,2016-01-01
2017,AUG,Alagoas,1,2017-01-01
1998,SEPT,Alagoas,14,1998-01-01
1999,SEPT,Alagoas,3,1999-01-01
2000,SEPT,Alagoas,22,2000-01-01
2001,SEPT,Alagoas,5,2001-01-01
2002,SEPT,Alagoas,14,2002-01-01
2003,SEPT,Alagoas,8,2003-01-01
2004,SEPT,Alagoas,5,2004-01-01
2005,SEPT,Alagoas,7,2005-01-01
2006,SEPT,Alagoas,4,2006-01-01
2007,SEPT,Alagoas,2,2007-01-01
2008,SEPT,Alagoas,9,2008-01-01
2009,SEPT,Alagoas,13,2009-01-01
2010,SEPT,Alagoas,5,2010-01-01
2011,SEPT,Alagoas,5,2011-01-01
2012,SEPT,Alagoas,6,2012-01-01
2013,SEPT,Alagoas,4,2013-01-01
2014,SEPT,Alagoas,11,2014-01-01
2015,SEPT,Alagoas,7,2015-01-01
2016,SEPT,Alagoas,18,2016-01-01
2017,SEPT,Alagoas,4,2017-01-01
1998,OCT,Alagoas,20,1998-01-01
1999,OCT,Alagoas,4,1999-01-01
2000,OCT,Alagoas,13,2000-01-01
2001,OCT,Alagoas,15,2001-01-01
2002,OCT,Alagoas,30,2002-01-01
2003,OCT,Alagoas,10,2003-01-01
2004,OCT,Alagoas,12,2004-01-01
2005,OCT,Alagoas,17,2005-01-01
2006,OCT,Alagoas,32,2006-01-01
2007,OCT,Alagoas,6,2007-01-01
2008,OCT,Alagoas,18,2008-01-01
2009,OCT,Alagoas,30,2009-01-01
2010,OCT,Alagoas,16,2010-01-01
2011,OCT,Alagoas,23,2011-01-01
2012,OCT,Alagoas,28,2012-01-01
2013,OCT,Alagoas,25,2013-01-01
2014,OCT,Alagoas,7,2014-01-01
2015,OCT,Alagoas,40,2015-01-01
2016,OCT,Alagoas,74,2016-01-01
2017,OCT,Alagoas,14,2017-01-01
1998,NOV,Alagoas,19,1998-01-01
1999,NOV,Alagoas,15,1999-01-01
2000,NOV,Alagoas,2,2000-01-01
2001,NOV,Alagoas,22,2001-01-01
2002,NOV,Alagoas,0,2002-01-01
2003,NOV,Alagoas,17,2003-01-01
2004,NOV,Alagoas,28,2004-01-01
2005,NOV,Alagoas,25,2005-01-01
2006,NOV,Alagoas,12,2006-01-01
2007,NOV,Alagoas,15,2007-01-01
2008,NOV,Alagoas,37,2008-01-01
2009,NOV,Alagoas,55,2009-01-01
2010,NOV,Alagoas,31,2010-01-01
2011,NOV,Alagoas,23,2011-01-01
2012,NOV,Alagoas,95,2012-01-01
2013,NOV,Alagoas,10,2013-01-01
2014,NOV,Alagoas,14,2014-01-01
2015,NOV,Alagoas,162,2015-01-01
2016,NOV,Alagoas,76,2016-01-01
2017,NOV,Alagoas,10,2017-01-01
1998,DEC,Alagoas,32,1998-01-01
1999,DEC,Alagoas,12,1999-01-01
2000,DEC,Alagoas,2,2000-01-01
2001,DEC,Alagoas,30,2001-01-01
2002,DEC,Alagoas,95,2002-01-01
2003,DEC,Alagoas,43,2003-01-01
2004,DEC,Alagoas,71,2004-01-01
2005,DEC,Alagoas,16,2005-01-01
2006,DEC,Alagoas,30,2006-01-01
2007,DEC,Alagoas,33,2007-01-01
2008,DEC,Alagoas,34,2008-01-01
2009,DEC,Alagoas,55,2009-01-01
2010,DEC,Alagoas,45,2010-01-01
2011,DEC,Alagoas,50,2011-01-01
2012,DEC,Alagoas,59,2012-01-01
2013,DEC,Alagoas,42,2013-01-01
2014,DEC,Alagoas,24,2014-01-01
2015,DEC,Alagoas,136,2015-01-01
2016,DEC,Alagoas,155,2016-01-01
1998,JAN,Amapa,0,1998-01-01
1999,JAN,Amapa,0,1999-01-01
2000,JAN,Amapa,2,2000-01-01
2001,JAN,Amapa,0,2001-01-01
2002,JAN,Amapa,7,2002-01-01
2003,JAN,Amapa,31,2003-01-01
2004,JAN,Amapa,38,2004-01-01
2005,JAN,Amapa,109,2005-01-01
2006,JAN,Amapa,6,2006-01-01
2007,JAN,Amapa,0,2007-01-01
2008,JAN,Amapa,2,2008-01-01
2009,JAN,Amapa,4,2009-01-01
2010,JAN,Amapa,2,2010-01-01
2011,JAN,Amapa,0,2011-01-01
2012,JAN,Amapa,30,2012-01-01
2013,JAN,Amapa,3,2013-01-01
2014,JAN,Amapa,10,2014-01-01
2015,JAN,Amapa,14,2015-01-01
2016,JAN,Amapa,19,2016-01-01
2017,JAN,Amapa,2,2017-01-01
1998,FEB,Amapa,0,1998-01-01
1999,FEB,Amapa,1,1999-01-01
2000,FEB,Amapa,0,2000-01-01
2001,FEB,Amapa,0,2001-01-01
2002,FEB,Amapa,2,2002-01-01
2003,FEB,Amapa,0,2003-01-01
2004,FEB,Amapa,2,2004-01-01
2005,FEB,Amapa,1,2005-01-01
2006,FEB,Amapa,2,2006-01-01
2007,FEB,Amapa,0,2007-01-01
2008,FEB,Amapa,0,2008-01-01
2009,FEB,Amapa,0,2009-01-01
2010,FEB,Amapa,0,2010-01-01
2011,FEB,Amapa,3,2011-01-01
2012,FEB,Amapa,5,2012-01-01
2013,FEB,Amapa,0,2013-01-01
2014,FEB,Amapa,2,2014-01-01
2015,FEB,Amapa,1,2015-01-01
2016,FEB,Amapa,1,2016-01-01
2017,FEB,Amapa,0,2017-01-01
1998,MAR,Amapa,0,1998-01-01
1999,MAR,Amapa,2,1999-01-01
2000,MAR,Amapa,0,2000-01-01
2001,MAR,Amapa,0,2001-01-01
2002,MAR,Amapa,0,2002-01-01
2003,MAR,Amapa,1,2003-01-01
2004,MAR,Amapa,0,2004-01-01
2005,MAR,Amapa,0,2005-01-01
2006,MAR,Amapa,0,2006-01-01
2007,MAR,Amapa,0,2007-01-01
2008,MAR,Amapa,1,2008-01-01
2009,MAR,Amapa,1,2009-01-01
2010,MAR,Amapa,2,2010-01-01
2011,MAR,Amapa,0,2011-01-01
2012,MAR,Amapa,1,2012-01-01
2013,MAR,Amapa,0,2013-01-01
2014,MAR,Amapa,1,2014-01-01
2015,MAR,Amapa,2,2015-01-01
2016,MAR,Amapa,5,2016-01-01
2017,MAR,Amapa,0,2017-01-01
1998,APR,Amapa,0,1998-01-01
1999,APR,Amapa,0,1999-01-01
2000,APR,Amapa,0,2000-01-01
2001,APR,Amapa,0,2001-01-01
2002,APR,Amapa,0,2002-01-01
2003,APR,Amapa,2,2003-01-01
2004,APR,Amapa,0,2004-01-01
2005,APR,Amapa,0,2005-01-01
2006,APR,Amapa,0,2006-01-01
2007,APR,Amapa,0,2007-01-01
2008,APR,Amapa,2,2008-01-01
2009,APR,Amapa,0,2009-01-01
2010,APR,Amapa,2,2010-01-01
2011,APR,Amapa,0,2011-01-01
2012,APR,Amapa,2,2012-01-01
2013,APR,Amapa,2,2013-01-01
2014,APR,Amapa,0,2014-01-01
2015,APR,Amapa,0,2015-01-01
2016,APR,Amapa,0,2016-01-01
2017,APR,Amapa,3,2017-01-01
1998,MAY,Amapa,0,1998-01-01
1999,MAY,Amapa,0,1999-01-01
2000,MAY,Amapa,0,2000-01-01
2001,MAY,Amapa,0,2001-01-01
2002,MAY,Amapa,3,2002-01-01
2003,MAY,Amapa,0,2003-01-01
2004,MAY,Amapa,0,2004-01-01
2005,MAY,Amapa,0,2005-01-01
2006,MAY,Amapa,0,2006-01-01
2007,MAY,Amapa,0,2007-01-01
2008,MAY,Amapa,0,2008-01-01
2009,MAY,Amapa,2,2009-01-01
2010,MAY,Amapa,2,2010-01-01
2011,MAY,Amapa,2,2011-01-01
2012,MAY,Amapa,2,2012-01-01
2013,MAY,Amapa,0,2013-01-01
2014,MAY,Amapa,0,2014-01-01
2015,MAY,Amapa,0,2015-01-01
2016,MAY,Amapa,1,2016-01-01
2017,MAY,Amapa,1,2017-01-01
1998,JUNE,Amapa,0,1998-01-01
1999,JUNE,Amapa,2,1999-01-01
2000,JUNE,Amapa,0,2000-01-01
2001,JUNE,Amapa,0,2001-01-01
2002,JUNE,Amapa,0,2002-01-01
2003,JUNE,Amapa,0,2003-01-01
2004,JUNE,Amapa,5,2004-01-01
2005,JUNE,Amapa,2,2005-01-01
2006,JUNE,Amapa,0,2006-01-01
2007,JUNE,Amapa,0,2007-01-01
2008,JUNE,Amapa,0,2008-01-01
2009,JUNE,Amapa,1,2009-01-01
2010,JUNE,Amapa,0,2010-01-01
2011,JUNE,Amapa,0,2011-01-01
2012,JUNE,Amapa,7,2012-01-01
2013,JUNE,Amapa,1,2013-01-01
2014,JUNE,Amapa,0,2014-01-01
2015,JUNE,Amapa,3,2015-01-01
2016,JUNE,Amapa,2,2016-01-01
2017,JUNE,Amapa,2,2017-01-01
1998,JULY,Amapa,0,1998-01-01
1999,JULY,Amapa,0,1999-01-01
2000,JULY,Amapa,0,2000-01-01
2001,JULY,Amapa,1,2001-01-01
2002,JULY,Amapa,1,2002-01-01
2003,JULY,Amapa,0,2003-01-01
2004,JULY,Amapa,2,2004-01-01
2005,JULY,Amapa,0,2005-01-01
2006,JULY,Amapa,0,2006-01-01
2007,JULY,Amapa,0,2007-01-01
2008,JULY,Amapa,0,2008-01-01
2009,JULY,Amapa,4,2009-01-01
2010,JULY,Amapa,2,2010-01-01
2011,JULY,Amapa,5,2011-01-01
2012,JULY,Amapa,3,2012-01-01
2013,JULY,Amapa,0,2013-01-01
2014,JULY,Amapa,4,2014-01-01
2015,JULY,Amapa,5,2015-01-01
2016,JULY,Amapa,1,2016-01-01
2017,JULY,Amapa,3,2017-01-01
1998,AUG,Amapa,1,1998-01-01
1999,AUG,Amapa,0,1999-01-01
2000,AUG,Amapa,3,2000-01-01
2001,AUG,Amapa,12,2001-01-01
2002,AUG,Amapa,18,2002-01-01
2003,AUG,Amapa,14,2003-01-01
2004,AUG,Amapa,9,2004-01-01
2005,AUG,Amapa,4,2005-01-01
2006,AUG,Amapa,11,2006-01-01
2007,AUG,Amapa,5,2007-01-01
2008,AUG,Amapa,4,2008-01-01
2009,AUG,Amapa,20,2009-01-01
2010,AUG,Amapa,1,2010-01-01
2011,AUG,Amapa,16,2011-01-01
2012,AUG,Amapa,19,2012-01-01
2013,AUG,Amapa,9,2013-01-01
2014,AUG,Amapa,18,2014-01-01
2015,AUG,Amapa,40,2015-01-01
2016,AUG,Amapa,37,2016-01-01
2017,AUG,Amapa,33,2017-01-01
1998,SEPT,Amapa,20,1998-01-01
1999,SEPT,Amapa,4,1999-01-01
2000,SEPT,Amapa,19,2000-01-01
2001,SEPT,Amapa,0,2001-01-01
2002,SEPT,Amapa,73,2002-01-01
2003,SEPT,Amapa,88,2003-01-01
2004,SEPT,Amapa,67,2004-01-01
2005,SEPT,Amapa,97,2005-01-01
2006,SEPT,Amapa,112,2006-01-01
2007,SEPT,Amapa,61,2007-01-01
2008,SEPT,Amapa,83,2008-01-01
2009,SEPT,Amapa,0,2009-01-01
2010,SEPT,Amapa,63,2010-01-01
2011,SEPT,Amapa,128,2011-01-01
2012,SEPT,Amapa,168,2012-01-01
2013,SEPT,Amapa,85,2013-01-01
2014,SEPT,Amapa,137,2014-01-01
2015,SEPT,Amapa,192,2015-01-01
2016,SEPT,Amapa,142,2016-01-01
2017,SEPT,Amapa,95,2017-01-01
1998,OCT,Amapa,42,1998-01-01
1999,OCT,Amapa,25,1999-01-01
2000,OCT,Amapa,42,2000-01-01
2001,OCT,Amapa,0,2001-01-01
